instance_pre,instance_post,conn_num,tot_syn_cnt,mean_syn_cnt,syn_cnt_sd
EPG(PB08)_R3,Delta7(PB15)_L5R4_L,14,40,2.857142857142857,1.9158104473902606
EPG(PB08)_R3,Delta7(PB15)_L4R5_R,15,238,15.866666666666667,6.642575518863864
EPG(PB08)_R3,Delta7(PB15)_L1L9R8_R,15,369,24.6,4.8373546489791295
EPG(PB08)_R3,Delta7(PB15)_L8R1R9_L,14,119,8.5,5.543534001949409
EPG(PB08)_R3,Delta7(PB15)_L3R6_R,12,368,30.666666666666668,7.401883462192497
EPG(PB08)_R3,Delta7(PB15)_L7R2_L,7,11,1.5714285714285714,0.7867957924694432
EPG(PB08)_R3,Delta7(PB15)_L2R7_R,15,410,27.333333333333332,7.733661733585444
EPG(PB08)_R3,PEG(PB07)_R1,0,0,0.0,0.0
EPG(PB08)_R3,PEG(PB07)_L5,0,0,0.0,0.0
EPG(PB08)_R3,PEG(PB07)_L6,3,8,2.6666666666666665,2.0816659994661326
EPG(PB08)_R3,PEG(PB07)_R6,0,0,0.0,0.0
EPG(PB08)_R3,PEG(PB07)_R4,4,31,7.75,4.425306015783918
EPG(PB08)_R3,PEG(PB07)_L4,0,0,0.0,0.0
EPG(PB08)_R3,PEG(PB07)_R2,4,18,4.5,5.744562646538029
EPG(PB08)_R3,PEG(PB07)_R3,6,392,65.33333333333333,56.15573583051572
EPG(PB08)_R3,PEG(PB07)_L3,0,0,0.0,0.0
EPG(PB08)_R3,PEG(PB07)_R7,0,0,0.0,0.0
EPG(PB08)_R3,PEG(PB07)_L7,3,15,5.0,5.291502622129181
EPG(PB08)_R3,PEG(PB07)_L8,0,0,0.0,0.0
EPG(PB08)_R3,PEG(PB07)_R9,0,0,0.0,0.0
EPG(PB08)_R3,PEG(PB07)_L1,0,0,0.0,0.0
EPG(PB08)_R3,PEG(PB07)_L2,0,0,0.0,0.0
EPG(PB08)_R3,PEG(PB07)_L9,0,0,0.0,0.0
EPG(PB08)_R3,PEG(PB07)_R5,0,0,0.0,0.0
EPG(PB08)_R3,PEG(PB07)_R8,0,0,0.0,0.0
EPG(PB08)_R3,PEN_a(PB06a)_L7,3,43,14.333333333333334,2.0816659994661326
EPG(PB08)_R3,PEN_a(PB06a)_R4,7,141,20.142857142857142,9.026416258748013
EPG(PB08)_R3,PEN_a(PB06a)_R3,5,101,20.2,17.455658108475888
EPG(PB08)_R3,PEN_a(PB06a)_L2,0,0,0.0,0.0
EPG(PB08)_R3,PEN_a(PB06a)_R6,1,2,2.0,0.0
